Name,Type,Price,Neighborhood,Address,Latitude,Longitude,Bedrooms,Bathrooms,Sq. Footage,Rent Period,Laundry,Parking,Link to Listing
Mt Lebanon 1 Bed Apartment Move in Ready 1485-106 - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,175",Pittsburgh,"1485 McFarland Road, Pittsburgh, PA 15224",40.390763,-80.043957,1,1,900,monthly,w/d in unit,detached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-mt-lebanon-bed-apartment/7791717365.html
Wonderful location for commuters! We're near public transit - apts/housing for rent - apartment rent - craigslist,Apartment,$925,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,3,1,1000,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/indiana-wonderful-location-for/7787635857.html
"Off Street Parking, Cable/Satellite, Window Coverings - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,467",Pittsburgh,"401 Abbeyville Rd, Pittsburgh, PA 15228",40.350699,-80.048058,2,2,980,monthly,no laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-off-street-parking-cable/7785918073.html
Shady Side Newly Renovated Studio - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,200",Pittsburgh,"Maryland Street, Pittsburgh, PA 15232",40.452968,-79.922473,N/A,1,300,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-shady-side-newly-renovated/7791712164.html
"""Why deal with leases and deposits?” - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,049",Carnegie,"520 N. Bell Avenue, Carnegie, PA 15106",40.417058,-80.088894,1,1,N/A,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/carnegie-why-deal-with-leases-and/7791700612.html
Sec. 8 OK - apts/housing for rent - apartment rent - craigslist,House,"$1,595",Pittsburgh,"73 Edenvale St., Pittsburgh, PA 15212",40.462510,-80.003068,3,1,N/A,monthly,w/d hookups,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-sec-ok/7790476746.html
Sec. 8 OK - apts/housing for rent - apartment rent - craigslist,House,"$1,995",Pittsburgh,"262 Kennedy Ave., Pittsburgh, PA 15214",40.474306,-80.012400,4,1,N/A,monthly,w/d hookups,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-sec-ok/7787936929.html
Section 8 Accepted - 2 Bedroom Duplex - apts/housing for rent - apartment rent - craigslist,Apartment,$913,Mckeesport,N/A,40.347800,-79.864200,2,1,N/A,monthly,w/d hookups,carport,https://pittsburgh.craigslist.org/apa/d/mckeesport-section-accepted-bedroom/7791698199.html
Phenomenal 2 BR double balc w/ensuite laundry Mt Lebo 11/15 - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,600",Pittsburgh,"37 ACADEMY AVENUE, MT LEBANON, PA 15228",40.369600,-80.043900,2,1,N/A,monthly,w/d in unit,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-phenomenal-br-double-balc/7791704442.html
3 Level Townhome! W/D in Unit! Deck! Central Air! Parking!3061 - apts/housing for rent - apartment rent - craigslist,House,"$1,995",Pittsburgh,"Terrace street, Pittsburgh, PA 15213",40.440169,-79.967274,3,2,1479,monthly,w/d in unit,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-level-townhome-d-in-unit/7791704131.html
Gorgeous Shady Side 2 Bed 2 Bath - 6111 5th Ave. - apts/housing for rent - apartment rent - craigslist,Apartment,"$3,250",Pittsburgh,"Emerson Street, Pittsburgh, PA 15232",40.452968,-79.922473,2,2,N/A,monthly,w/d in unit,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-gorgeous-shady-side-bed-bath/7791703324.html
River View 2 Bedroom *Move In Specials* - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,985",Pittsburgh,"625 Stanwix Street, Pittsburgh, PA 15222",40.447700,-79.993300,2,1,975,monthly,w/d in unit,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-river-view-bedroom-move-in/7783739808.html
1 Bedroom- All Utilities Included - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,463",Pittsburgh,"1500 Park Ln, Pittsburgh, PA 15275",40.455975,-80.188683,1,1,502,monthly,w/d in unit,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-all-utilities/7790161974.html
Spacious 1 bedroom with Central Air and W/D in unit! Free Parking! 116 - apts/housing for rent - apartment rent -...,Apartment,"$1,805",Pittsburgh,"Turrentine PL, Pittsburgh, PA 15213",40.444000,-79.955200,1,1,705,monthly,w/d in unit,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-spacious-bedroom-with/7791699143.html
"Close to Public Trans, Full Bath with Tub, Lobby Lounge, For Seniors - apts/housing for rent - apartment rent -...",House,$976,Connellsville,"120 E Peach St, Connellsville, PA 15425",40.020481,-79.588443,2,1,774,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/connellsville-close-to-public-trans/7791698967.html
House for Rent in Carrick/Pittsburgh - apts/housing for rent - apartment rent - craigslist,Apartment,$975,Pittsburgh,N/A,40.380500,-79.966700,3,2,1150,monthly,w/d hookups,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-house-for-rent-in-carrick/7790955378.html
3 bed 1 bath with attached garage - apts/housing for rent - apartment rent - craigslist,Place,$1300.00,Verona,"614 First St, Verona, PA 15147",40.504004,-79.839500,3,1,1080,monthly,w/d in unit,attached garage,https://pittsburgh.craigslist.org/apa/d/verona-bed-bath-with-attached-garage/7791696265.html
"High Ceilings, Rooftop Pool, In-Residence Laundry - apts/housing for rent - apartment rent - craigslist",Apartment,"$2,400",Pittsburgh,"434 Fifth Ave, Pittsburgh, PA 15219",40.439484,-79.998334,1,1,738,monthly,laundry in bldg,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-high-ceilings-rooftop-pool/7790531583.html
"HARDWOOD FLOORS, NEW BATHROOM & KITCHEN, LARGE BEDROOMS, FRESH PAINT - apts/housing for rent - apartment rent -...",Apartment,$950,Pittsburgh,"856 Ohio River Blvd, Avalon, PA 15202",40.495176,-80.066334,2,1,900,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-hardwood-floors-new-bathroom/7791692258.html
New 3 to 4 Bedroom unit - apts/housing for rent - apartment rent - craigslist,Place,$1900.00,Pittsburgh,"3403 Dawson St, Pittsburgh, PA 15213",40.434698,-79.953406,4,1,N/A,monthly,w/d in unit,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-new-to-bedroom-unit/7791693261.html
Duplex 2 bedroom apartment - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,300",Pittsburgh,"2225 Palm Beach Avenue, Pittsburgh, PA 15216",40.403500,-80.026075,2,1,N/A,monthly,w/d hookups,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-duplex-bedroom-apartment/7791691092.html
Townhouse - apts/housing for rent - apartment rent - craigslist,Place,$1300.00,Greensburg,"412 Silvis Way, Greensburg, PA 15601",40.290651,-79.538833,2,2,N/A,monthly,laundry on site,attached garage,https://pittsburgh.craigslist.org/apa/d/greensburg-townhouse/7791692156.html
Large 1 Bedroom/ 1 Bath - apts/housing for rent - apartment rent - craigslist,Place,$850.00,Meadow Lands,"1584 North Main St., washington, PA 15301",40.195059,-80.254718,1,1,N/A,monthly,w/d in unit,attached garage,https://pittsburgh.craigslist.org/apa/d/meadow-lands-large-bedroom-bath/7791691336.html
UPDATED 15 3rd St Unit B Carnegie 15106 - UTILITIES INCLUDED - apts/housing for rent - apartment rent - craigslist,Place,$1190.00,Carnegie,"15 3rd St. Unit B, Carnegie, PA 15106",40.402126,-80.088634,2,2,N/A,monthly,no laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/carnegie-updated-15-3rd-st-unit/7791689922.html
2 bedroom 1 bath duplex for rent - apts/housing for rent - apartment rent - craigslist,Place,$850.00,Penn,"424 Cassatt Ave, Jeannette, PA 15644",40.325083,-79.621067,2,1,N/A,monthly,no laundry on site,N/A,https://pittsburgh.craigslist.org/apa/d/penn-bedroom-bath-duplex-for-rent/7791689738.html
"1 Bed 1 Bath Located in Moon Township, Pet Friendly - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,325",Coraopolis,"916 Beaver Grade Road, Moon Township, PA 15108",40.500000,-80.199600,1,1,640,monthly,w/d in unit,carport,https://pittsburgh.craigslist.org/apa/d/coraopolis-bed-bath-located-in-moon/7790721369.html
Mt. Washington 2 bedroom 1 bathroom 1st Fl Apt. - apts/housing for rent - apartment rent - craigslist,Place,$1050.00,Pittsburgh,"25 Norton St, Pittsburgh, PA 15211",40.426506,-80.009757,2,1,1200,monthly,w/d in unit,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-mt-washington-bedroom/7791688140.html
Incredibly Spacious 2 Bedroom in Squirrel Hill - Washer & Dryer INCLUD - apts/housing for rent - apartment rent -...,Apartment,"$1,545",Pittsburgh,"Beacon, Pittsburgh, PA 15217",40.433956,-79.927340,2,1,N/A,monthly,w/d in unit,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-incredibly-spacious-bedroom/7791686028.html
