price,name,location,zip_code,beds,baths,size,units,phone,image_url,property_url,latitude,longitude,description,amenity,data_source
3690,Brewers Block,"3234 Liberty Ave, Pittsburgh, PA 15201",15201,2,,,,(412) 754-4666,https://images1.apartments.com/i2/Eqnrv0hAuPyhKiT3dYS480TdAVyjM6g0vrD9eIAX5A0/117/brewers-block-pittsburgh-pa-building-photo.jpg?p=1,https://www.apartments.com/brewers-block-pittsburgh-pa/cr8x23f/,,,,"Pets Allowed, Fitness Center, Pool, Pavillon",Apartments.com
4485,The Park at Southside Works,"2695 S Water St, Pittsburgh, PA 15203",15203,2,,,,(412) 816-8343,https://images1.apartments.com/i2/ZQWK9jlkY_phvAHQltsE-H2PvA4gOXQ1_UxaOpBJmYE/117/the-park-at-southside-works-pittsburgh-pa-building-photo.jpg?p=1,https://www.apartments.com/the-park-at-southside-works-pittsburgh-pa/wwklmdk/,,,,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Balcony, Patio, Stainless Steel Appliances",Apartments.com
,The Julian,"419 Melwood Ave, Pittsburgh, PA 15213",15213,2,,,,(412) 547-5204,https://images1.apartments.com/i2/Sm-rxTFXOyEon-3YnPNpT3du0x1V5tM9dfPxh5nY0dQ/117/the-julian-pittsburgh-pa-building-photo.jpg?p=1,https://www.apartments.com/the-julian-pittsburgh-pa/cnvenke/,,,,"Pets Allowed, Fitness Center, Maintenance on site, Stainless Steel Appliances, Elevator, Rooftop Deck",Apartments.com
3495,The Foundmore,"300 Hillview Dr, Pittsburgh, PA 15237",15237,3,,,,(412) 534-5415,https://images1.apartments.com/i2/yutqkqgGmv_xD4vmOyhXGkJVuh30BjfPXpAdfQsl-oA/117/the-foundmore-pittsburgh-pa-building-photo.jpg?p=1,https://www.apartments.com/the-foundmore-pittsburgh-pa/egccs2p/,,,,"Pets Allowed, Fitness Center, Pool, Kitchen, In Unit Washer & Dryer, Pavillon",Apartments.com
1999,Riverwind at Chatham Park Drive,"300 Chatham Park Dr, Pittsburgh, PA 15220",15220,3,,,,(724) 308-5363,https://images1.apartments.com/i2/D2YFqJMk6yaRZyDEVtLOzr6JjbxT7n5zslS3XXowX5M/117/riverwind-at-chatham-park-drive-pittsburgh-pa-building-exterior.jpg?p=1,https://www.apartments.com/riverwind-at-chatham-park-drive-pittsburgh-pa/72zf9ey/,,,,"Pets Allowed, Fitness Center, Pool, Maintenance on site, Laundry Facilities, Playground, Basketball Court",Apartments.com
2399,The Brix at 26,"75 S 26th St, Pittsburgh, PA 15203",15203,1,,,,(412) 754-4807,https://images1.apartments.com/i2/2VcCOVv3H0bTf0S6ZMztUZf9itOuzexJxoGKBLQqCnY/117/the-brix-at-26-pittsburgh-pa-building-photo.jpg?p=1,https://www.apartments.com/the-brix-at-26-pittsburgh-pa/6zm86wt/,,,,"Pets Allowed, Dishwasher, In Unit Washer & Dryer, Maintenance on site, Disposal, Granite Countertops, Elevator",Apartments.com
1260,Hyland Hills,"275 Oakville Dr, Pittsburgh, PA 15220",15220,1,,,,(412) 472-7280,https://images1.apartments.com/i2/5qvQWe1oBMh0iniksIrttZyHfGXxyIFIk1CTaA6sh_4/117/hyland-hills-pittsburgh-pa-building-photo.jpg?p=1,https://www.apartments.com/hyland-hills-pittsburgh-pa/qhg5jyw/,,,,"Fitness Center, Dishwasher, Pavillon, High-Speed Internet, Gated, Tennis Court, Basketball Court",Apartments.com
3230,Connection at South Side,"2984 Sidney St, Pittsburgh, PA 15203",15203,2,,,,(412) 903-3845,https://images1.apartments.com/i2/kRRdnlW6paQgbL-I1Gxm6SozTHHv7eCvVDxkx8MnIvs/117/connection-at-south-side-pittsburgh-pa-interior-photo.jpg?p=1,https://www.apartments.com/connection-at-south-side-pittsburgh-pa/2ytyqp8/,,,,"Pets Allowed, Pool",Apartments.com
3654,Helm on the Allegheny,"2239 Railroad St, Pittsburgh, PA 15222",15222,2,,,,(412) 850-3114,https://images1.apartments.com/i2/pDnj9BvFFDi_6458rMs-Gb59vBAifTAHPzsuhzI_NOU/117/helm-on-the-allegheny-pittsburgh-pa-interior-photo.jpg?p=1,https://www.apartments.com/helm-on-the-allegheny-pittsburgh-pa/wlezgzl/,,,,"Pets Allowed, Fitness Center, Pavillon, Maintenance on site, Controlled Access, Concierge, EV Charging",Apartments.com
7259,Grandview Pointe Apartments,"1411 Grandview Ave, Pittsburgh, PA 15211",15211,2,,,,(412) 472-7533,https://images1.apartments.com/i2/lhD20OFKN-K6n-LgKAd79l8qY0Q89DQfXl5sO3y-CqA/117/grandview-pointe-apartments-pittsburgh-pa-building-photo.jpg?p=1,https://www.apartments.com/grandview-pointe-apartments-pittsburgh-pa/5k0yx4p/,,,,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",Apartments.com
