Name,Type,Price,Neighborhood,Address,Latitude,Longitude,Bedrooms,Bathrooms,Sq. Footage,Rent Period,Laundry,Parking,Link to Listing
"Package Receiving, Pets Allowed, Large Closets - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,517 ",Pittsburgh,"401 Abbeyville Rd, Pittsburgh, PA 15228",40.350699,-80.048058,2,2,980,monthly,no laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-package-receiving-pets/7790279194.html
"new kitchen, 2 new bathrooms, 2 new bedrooms - apts/housing for rent - apartment rent - craigslist",Apartment,$661 ,Pittsburgh,N/A,40.4295,-80.0144,2,2,1500,monthly,w/d in unit,valet parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-new-kitchen-new-bathrooms/7790278718.html
**CALL AND ASK ABOUT OUR PROGRAM TODAY** - apts/housing for rent - apartment rent - craigslist,House,$999 ,Pittsburgh,N/A,40.5051,-79.9528,3,1,936,monthly,w/d in unit,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-call-and-ask-about-our/7790278712.html
1 Bedroom for you and you kitten!! Schedule TODAY! - apts/housing for rent - apartment rent - craigslist,Apartment,$775 ,Pittsburgh,"Oak Manor Place, Pittsburgh, PA 15235",40.479168,-79.789669,1,1,N/A,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-for-you-and-you/7790277383.html
What a Find! 3 Bedrooms at this Price...Call for a TOUR!!!! - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,275 ",Verona,"Relative Dr., Pittsburgh, PA 15147",40.4927,-79.8345,3,1,1300,monthly,w/d hookups,attached garage,https://pittsburgh.craigslist.org/apa/d/verona-what-find-bedrooms-at-this/7790277041.html
1 Bedroom for you and you kitten!! Schedule TODAY! - apts/housing for rent - apartment rent - craigslist,Apartment,$759 ,Pittsburgh,"Oak Manor Place, Pittsburgh, PA 15235",40.479168,-79.789669,1,1,N/A,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-for-you-and-you/7790276695.html
2 Bed / 1 Bath – Cozy & Affordable! - apts/housing for rent - apartment rent - craigslist,House,$650 ,Pittsburgh,"Methyl St, Pittsburgh, PA 15216",40.416569,-80.025775,2,1,733,monthly,w/d in unit,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bed-bath-cozy-affordable/7790276593.html
"Air Conditioner, Situated in Bridgeville!, 1/BD - apts/housing for rent - apartment rent - craigslist",Apartment,$993 ,Bridgeville,"479 Bank St Ext, Bridgeville, PA 15017",40.357388,-80.111871,1,1,663,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/bridgeville-air-conditioner-situated-in/7790276537.html
Cutest 1 bedroom around!! It could be all yours! - apts/housing for rent - apartment rent - craigslist,Apartment,$760 ,Pittsburgh,"Park Manor Place, Pittsburgh, PA 15235",40.4598,-79.8224,1,1,N/A,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-cutest-bedroom-around-it/7790276464.html
"Home is our favorite four-letter word, come HOME today! - apts/housing for rent - apartment rent - craigslist",House,"$1,300 ",Pittsburgh,"Bale Drive, Pittsburgh, PA 15235",40.464996,-79.805398,3,1,1200,monthly,w/d hookups,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-home-is-our-favorite-four/7790276137.html
Stunning 2 bedroom waiting for you!! - apts/housing for rent - apartment rent - craigslist,House,$999 ,Oakmont,"Relative Drive, Verona, PA 15147",40.512896,-79.803191,2,1,N/A,monthly,w/d hookups,off-street parking,https://pittsburgh.craigslist.org/apa/d/oakmont-stunning-bedroom-waiting-for-you/7790273622.html
Absolutely Beautiful Town Homes! Available NOW! - apts/housing for rent - apartment rent - craigslist,House,"$1,275 ",Pittsburgh,"Stotler Road, Pittsburgh, PA 15235",40.474668,-79.80987,3,1,1300,monthly,w/d hookups,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-absolutely-beautiful-town/7790273320.html
AMAZING 1 BEDROOM APARTMENT! - apts/housing for rent - apartment rent - craigslist,Apartment,$825 ,Verona,"190 Sycamore Drive, Pittsburgh, PA 15235",40.480799,-79.82947,1,1,N/A,monthly,w/d hookups,off-street parking,https://pittsburgh.craigslist.org/apa/d/verona-amazing-bedroom-apartment/7790273190.html
"Package Room, Recessed Lighting, Game Room - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,454 ",Pittsburgh,"434 Fifth Ave, Pittsburgh, PA 15219",40.439484,-79.998334,N/A,1,530,monthly,laundry in bldg,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-package-room-recessed/7788499229.html
"Spread out & settle in: 2 BR, 1 BA, 775 Sq Ft of joy. - apts/housing for rent - apartment rent - craigslist",Apartment,$638 ,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,2,1,775,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/indiana-spread-out-settle-in-br-ba-775/7788456737.html
Extended Stay America Carnegie! Introductory Special! - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,260 ",Carnegie,"520 N. Bell Avenue, Carnegie, PA 15106",40.417058,-80.088894,1,1,300,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/carnegie-extended-stay-america-carnegie/7790264057.html
"This Spacious is a 3 bedroom, 2 bath duplex Single Family ? - apts/housing for rent - apartment rent - craigslist",House,$890 ,Pittsburgh,"399 Carmell Dr,, Pittsburgh, PA 15241",40.3323,-80.081,3,2,N/A,monthly,w/d in unit,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-this-spacious-is-3-bedroom/7790268086.html
12/1! 1BR NR CMU/Chatham/Pitt/UPMC!! Bike 2 Schenley&SqHill Shopping! - apts/housing for rent - apartment rent -...,Apartment,"$1,016 ",Pittsburgh,"Covode, Pittsburgh, PA 15217",40.431869,-79.927273,1,1,400,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-br-nr-cmu-chatham-pitt-upmc/7790257126.html
"1B/1B, Free Wi-Fi in Common Areas, Smoke-Free Building - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,145 ",Pittsburgh,"7 Dorchester Drive, Pittsburgh, PA 15241",40.3323,-80.081,1,1,640,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-1b-1b-free-wi-fi-in-common/7787873599.html
All Utilities Included- Studio Apartment - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,395 ",Pittsburgh,"1500 Park Ln, Pittsburgh, PA 15275",40.455975,-80.188683,N/A,1,502,monthly,w/d in unit,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utilities-included/7787557826.html
"Private Entrance, 1/BD 1/BA, Pittsburgh PA - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,050 ",Pittsburgh,"200 Stratford Avenue, Pittsburgh, PA 15206",40.4001,-80.0161,1,1,533,monthly,laundry in bldg,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-private-entrance-bd-ba/7781988998.html
1 Bedroom * 1 Month Free * - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,795 ",Pittsburgh,"625 Stanwix Street, Pittsburgh, PA 15222",40.4477,-79.9933,1,1,780,monthly,w/d in unit,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-month-free/7783735945.html
"Playground, 2/bd, Located in Hunker - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,097 ",Hunker,"117 Huntingdon Village Dr, Hunker, PA 15639",40.189994,-79.599803,2,1,850,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/hunker-playground-bd-located-in-hunker/7790260980.html
1 Bdrm Apt - apts/housing for rent - apartment rent - craigslist,Apartment,$975 ,Duquesne,"S 5th, Duquesne, PA 15110",40.364569,-79.84677,1,1,N/A,monthly,no laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/duquesne-bdrm-apt/7787044757.html
2 Bdrm. Apt. - apts/housing for rent - apartment rent - craigslist,Apartment,$900 ,Webster,"McKean Ave, Donora, PA 15033",40.180711,-79.855912,3,1,N/A,monthly,no laundry on site,street parking,https://pittsburgh.craigslist.org/apa/d/webster-bdrm-apt/7788661023.html
2 Bdrm.Apt. - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,125 ",Duquesne,"S Fifth, Duquesne, PA 15110",40.3704,-79.8522,2,1,N/A,monthly,no laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/duquesne-bdrmapt/7788666912.html
"Off Street Parking, Cable/Satellite, Window Coverings - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,467 ",Pittsburgh,"401 Abbeyville Rd, Pittsburgh, PA 15228",40.350699,-80.048058,2,2,980,monthly,no laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-off-street-parking-cable/7785918073.html
"Incredible Features, Air Conditioning, Clubhouse - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,044 ",Duquesne,"100 Grant Ave, Duquesne, PA 15110",40.373581,-79.846266,1,1,1,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/duquesne-incredible-features-air/7790254337.html
"It has it all-washer/dryer, elevator, double balc, 2 BR MT LEBO 11/15 - apts/housing for rent - apartment rent -...",Apartment,"$1,700 ",Pittsburgh,"37 ACADEMY AVENUE, MT LEBANON, PA 15228",40.3696,-80.0439,2,1,N/A,monthly,w/d in unit,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-it-has-it-all-washer-dryer/7790255299.html
"Full House with Porch & Yard, Three Floors, Avail Dec 2nd - apts/housing for rent - apartment rent - craigslist",House,"$1,600 ",Pittsburgh,"Pitt St, Pittsburgh, PA 15221",40.438782,-79.890454,3,1,1819,monthly,w/d hookups,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-full-house-with-porch-yard/7787122134.html
"1/BD, On-Site Laundry Facility, Smoke-Free Building - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,270 ",Pittsburgh,"7 Dorchester Drive, Pittsburgh, PA 15241",40.3323,-80.081,1,1,660,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bd-on-site-laundry-facility/7789648814.html
"Central A/C, Dishwasher, Washer & Dryer Included - UC - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,425 ",Pittsburgh,"625 Stanwix Street, Pittsburgh, PA 15222",40.4001,-80.0161,3,1,1100,monthly,laundry in bldg,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-central-c-dishwasher-washer/7782270998.html
See what our residents are raving about! - apts/housing for rent - apartment rent - craigslist,Apartment,$925 ,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,3,1,1000,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/indiana-see-what-our-residents-are/7787274828.html
"Pittsburgh PA, 1 BD, Laundry On-Site - apts/housing for rent - apartment rent - craigslist",Apartment,$850 ,Pittsburgh,"625 Stanwix Street, Pittsburgh, PA 15222",40.4001,-80.0161,1,1,645,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-pittsburgh-pa-bd-laundry-on/7783438249.html
"Basketball Courts, Volleyball Court, Community Room - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,097 ",Hunker,"117 Huntingdon Village Dr, Hunker, PA 15639",40.189994,-79.599803,2,1,850,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/hunker-basketball-courts-volleyball/7788340682.html
"2 Bed 2 Bath, Centrally Located in Moon Township - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,565 ",Coraopolis,"916 Beaver Grade Road, Moon Township, PA 15108",40.5,-80.1996,2,2,1050,monthly,w/d in unit,carport,https://pittsburgh.craigslist.org/apa/d/coraopolis-bed-bath-centrally-located/7788861170.html
"WOW!!! LOCATION, LOCATION, LOCATION-THE BEST LOCATION IN PITTSBURGH!!! - apts/housing for rent - apartment rent -...",House,$700 ,Pittsburgh,"MURRAY AVENUE AND NICHOLSON STREET SQUIRREL HILL PITTSBURGH, MURRAY AVENUE AND NICHOLSON STREET SQUIR, PA 15217",40.4308,-79.9205,1,2,1650,monthly,w/d in unit,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-wow-location-location/7790243843.html
"Home is our favorite four-letter word, come HOME today! - apts/housing for rent - apartment rent - craigslist",House,"$1,275 ",Pittsburgh,"bale Drive, Pittsburgh, PA 15235",40.464996,-79.805398,3,1,1200,monthly,w/d hookups,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-home-is-our-favorite-four/7790240717.html
Beautiful 2 bedroom townhouse ready for YOU! - apts/housing for rent - apartment rent - craigslist,House,$999 ,Oakmont,"Relative Drive, Verona, PA 15147",40.512896,-79.803191,2,1,975,monthly,w/d hookups,off-street parking,https://pittsburgh.craigslist.org/apa/d/oakmont-beautiful-bedroom-townhouse/7790240503.html
Such a cute unit at Park Manor!!! - apts/housing for rent - apartment rent - craigslist,Apartment,$759 ,Pittsburgh,"Park Manor Place, Pittsburgh, PA 15235",40.4598,-79.8224,1,1,N/A,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-such-cute-unit-at-park-manor/7790240369.html
Check out this AMAZING 1 bedroom!!! - apts/housing for rent - apartment rent - craigslist,Apartment,$759 ,Pittsburgh,"Oak Manor Place, Pittsburgh, PA 15235",40.479168,-79.789669,1,1,N/A,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-check-out-this-amazing/7790240098.html
"Quiet, Clean and Peaceful. 2 Bedroom Townhouse For You! - apts/housing for rent - apartment rent - craigslist",Apartment,$999 ,Verona,"Relative Drive, Pittsburgh, PA 15147",40.4927,-79.8345,2,1,800,monthly,w/d hookups,off-street parking,https://pittsburgh.craigslist.org/apa/d/verona-quiet-clean-and-peaceful-bedroom/7790239778.html
"Carpeting, Clubhouse, Laundry Suites - apts/housing for rent - apartment rent - craigslist",Apartment,$993 ,Bridgeville,"479 Bank St Ext, Bridgeville, PA 15017",40.357388,-80.111871,1,1,663,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/bridgeville-carpeting-clubhouse-laundry/7790238949.html
"1 Bedroom, 3rd Floor apartment - apts/housing for rent - apartment rent - craigslist",Apartment,$650 ,Manorville,"204 Cleveland Street, Kittanning, PA, PA 16201",40.807265,-79.527304,1,1,N/A,monthly,no laundry on site,street parking,https://pittsburgh.craigslist.org/apa/d/manorville-bedroom-3rd-floor-apartment/7788763620.html
"Age Restricted 55 +, 2 Bedroom 2nd Floor Apartment - apts/housing for rent - apartment rent - craigslist",Apartment,$795 ,Manorville,"Arthur Street, Kittanning, PA, PA 16201",40.808547,-79.530029,2,2,900,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/manorville-age-restricted-bedroom-2nd/7788759344.html
"Situated in Pittsburgh!, 1B/1B, Free Wi-Fi in Common Areas - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,145 ",Pittsburgh,"7 Dorchester Drive, Pittsburgh, PA 15241",40.3323,-80.081,1,1,640,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-situated-in-pittsburgh-1b-1b/7790233635.html
"Rooftop Basketball Court, Music Room, Podcast Room - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,592 ",Pittsburgh,"434 Fifth Ave, Pittsburgh, PA 15219",40.439484,-79.998334,1,1,725,monthly,laundry in bldg,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-rooftop-basketball-court/7790233394.html
"1 Bed 1 Bath with Den/Office Space, In-Unit Laundry, Patio/Balcony - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,375 ",Coraopolis,"916 Beaver Grade Road, Moon Township, PA 15108",40.5,-80.1996,1,1,825,monthly,w/d in unit,carport,https://pittsburgh.craigslist.org/apa/d/coraopolis-bed-bath-with-den-office/7790232710.html
Penn Avenue Arts District in Pittsburgh's Friendship neighborhood. - apts/housing for rent - apartment rent - craigslist,Apartment,$950 ,Pittsburgh,N/A,40.4723,-79.9132,1,1,N/A,monthly,w/d in unit,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-penn-avenue-arts-district-in/7786965020.html
We welcome your furry friends! Pet Friendly! 2 Bd / 1 Ba / 700 SqFt - apts/housing for rent - apartment rent -...,Apartment,$906 ,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,2,1,700,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/indiana-we-welcome-your-furry-friends/7787263396.html
ALL Utilities Included - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,465 ",Pittsburgh,"1500 Park Ln, Pittsburgh, PA 15275",40.455975,-80.188683,1,1,502,monthly,w/d in unit,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utilities-included/7787558599.html
Cute updated 1 Bedroom - apts/housing for rent - apartment rent - craigslist,Apartment,$895 ,Pittsburgh,"624 California Ave, Pittsburgh, PA 15202",40.4001,-80.0161,1,1,580,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-cute-updated-bedroom/7783498347.html
"All Utilities Included, Senior Community, Walk to Water Street - apts/housing for rent - apartment rent - craigslist",House,$976 ,Connellsville,"120 E Peach St, Connellsville, PA 15425",40.020481,-79.588443,2,1,774,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/connellsville-all-utilities-included/7790216239.html
WEEKLY ApArTmEnTs! TURN KEY APARTMENTS! FURNISHED! - apts/housing for rent - apartment rent - craigslist,Apartment,$325 ,Washington,N/A,40.1717,-80.256,1,1,N/A,weekly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/washington-weekly-apartments-turn-key/7790214667.html
WEEKLY ApArTmEnTs! TURN KEY APARTMENTS! FURNISHED! - apts/housing for rent - apartment rent - craigslist,Apartment,$325 ,Canonsburg,N/A,40.2706,-80.1668,1,1,N/A,weekly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/canonsburg-weekly-apartments-turn-key/7790214545.html
"Open Concept Floorplans, Rooftop Dog Park, Dog Wash - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,663 ",Pittsburgh,"434 Fifth Ave, Pittsburgh, PA 15219",40.439484,-79.998334,N/A,1,549,monthly,laundry in bldg,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-open-concept-floorplans/7790214302.html
