zip_code,Studio,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
MSA level,998,1068,1280,1632,1759
15001,970,1030,1240,1580,1700
15003,850,910,1090,1390,1500
15004,870,930,1120,1430,1540
15005,710,760,910,1160,1250
15006,1040,1110,1330,1700,1830
15007,1040,1110,1330,1700,1830
15009,780,830,1000,1280,1370
15010,840,900,1080,1380,1480
15012,850,910,1090,1390,1500
15014,780,830,1000,1280,1370
15015,1500,1600,1920,2450,2640
15017,1010,1080,1290,1640,1770
15018,820,880,1050,1340,1440
15019,760,810,970,1240,1330
15020,840,900,1080,1370,1480
15021,870,930,1120,1430,1540
15022,830,880,1060,1350,1460
15024,1060,1130,1360,1730,1870
15025,1080,1160,1390,1770,1910
15026,980,1040,1250,1590,1720
15027,820,880,1050,1340,1440
15028,900,960,1160,1470,1590
15030,900,960,1150,1470,1580
15031,1000,1070,1280,1630,1750
15032,1060,1130,1360,1730,1870
15033,850,910,1090,1390,1500
15034,710,760,910,1160,1250
15035,710,760,910,1160,1250
15037,880,940,1130,1440,1550
15038,920,990,1190,1510,1630
15042,1500,1600,1920,2450,2640
15043,860,920,1100,1400,1510
15044,1040,1110,1330,1700,1830
15045,820,880,1050,1340,1440
15046,1000,1070,1280,1630,1760
15047,860,920,1100,1400,1510
15049,910,980,1170,1490,1610
15050,1220,1300,1560,1990,2140
15051,1150,1230,1480,1890,2030
15052,870,930,1110,1420,1530
15053,800,860,1030,1320,1410
15054,870,930,1120,1430,1540
15055,1060,1130,1360,1730,1870
15056,1080,1160,1390,1770,1910
15057,930,990,1190,1520,1630
15059,760,810,970,1240,1330
15060,710,760,910,1160,1250
15061,930,990,1190,1520,1630
15062,840,900,1080,1380,1480
15063,830,890,1070,1360,1470
15064,1220,1300,1560,1990,2140
15065,770,830,990,1260,1360
15066,870,930,1120,1430,1540
15067,730,780,930,1190,1280
15068,870,930,1120,1430,1540
15071,1330,1430,1710,2180,2350
15072,850,910,1090,1390,1500
