Price,Location,Beds,Baths,Size,Units,Phone,Image_URL,Home_URL
"$1,175+/mo","Thames Manor | 585 S Negley Ave, Pittsburgh, PA 15232",1 bed,1 bath,—,2 units available,(724) 715-3997,https://ssl.cdn-redfin.com/photo/rent/461363c5-a2cc-46e1-8f95-1d70b0b242db/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Thames-Manor/apartment/74745749
"$1,799+/mo","The Cork Factory | 2349 Railroad St, Pittsburgh, PA 15222",1-2 bed,1-2 bath,"740-1,569",27 units available,(412) 944-2349,https://ssl.cdn-redfin.com/photo/rent/e93d3776-a37c-48a9-af38-52b64e25152b/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/The-Cork-Factory/apartment/189828927
"$1,260+/mo","Hyland Hills Apartments | 275 Oakville Dr, Pittsburgh, PA 15220",1-3 bed,1-1.5 bath,"630-1,180",12 units available,(412) 871-9528,https://ssl.cdn-redfin.com/photo/rent/086710f0-a999-4324-98fc-7e7d72f5d6c1/islphoto/genIsl.0_10.jpg,https://www.redfin.com/PA/Pittsburgh/Hyland-Hills-Apartments/apartment/177458366
$750+/mo,"The Alden South Hills | 5492 Youngridge Dr, Pittsburgh, PA 15236",1-3 bed,1 bath,525-767,Pets welcome,(412) 655-9222,https://ssl.cdn-redfin.com/photo/rent/78d5a4e6-07fd-4433-bd59-c57b129b8ddb/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/The-Alden-South-Hills/apartment/177360533
"$1,330+/mo","Nineteen North Apartments | 1050 N 19 Dr, Pittsburgh, PA 15237",1-3 bed,1-2.5 bath,"700-1,408",16 units available,(412) 944-2902,https://ssl.cdn-redfin.com/photo/rent/47da385d-1dc5-4b38-92ca-18a980a4747e/islphoto/genIsl.0_8.jpg,https://www.redfin.com/PA/Pittsburgh/Nineteen-North-Apartments/apartment/177361209
"$1,425+/mo","Park West 205 | 1000 W Park Pl, Pittsburgh, PA 15205",1-3 bed,1-2 bath,"752-1,363",13 units available,(412) 815-1131,https://ssl.cdn-redfin.com/photo/rent/b2178f23-9510-4b7e-a7e0-15c3a665d8f9/islphoto/genIsl.0_7.jpg,https://www.redfin.com/PA/Pittsburgh/Park-West-205/apartment/147575117
"$2,550/mo","The Square On Butler | 3459 Butler St, Pittsburgh, PA 15201",2 beds,1.5-2 baths,—,3 units available,(724) 492-8335,https://ssl.cdn-redfin.com/photo/rent/57aa05f6-85d5-45b8-a645-eda4cdfa9731/islphoto/genIsl.0_5.jpg,https://www.redfin.com/PA/Pittsburgh/The-Square-On-Butler/apartment/177404965
"$1,365+/mo","Bear Run Village | 100 Bear Run Dr, Pittsburgh, PA 15237",1-3 bed,1-2.5 bath,—,Laundry in unit,(412) 240-6525,https://ssl.cdn-redfin.com/photo/rent/408eb38a-c05c-4535-b489-b226ad560c1d/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Bear-Run-Village/apartment/189829289
"$1,310+/mo","Maiden Bridge and Canongate Apartments | 200 White Hampton Ln, Pittsburgh, PA 15236",1-3 bed,1-2 bath,"634-1,408",19 units available,(724) 307-5840,https://ssl.cdn-redfin.com/photo/rent/7499f54e-4cac-4ac0-80e2-121e50b573fd/islphoto/genIsl.0_7.jpg,https://www.redfin.com/PA/Pittsburgh/Maiden-Bridge-and-Canongate-Apartments/apartment/74527153
"$1,590+/mo","The Waterfront | 611 E Waterfront Dr, Homestead, PA 15120",1-3 bed,1-3 bath,"583-1,515",11 units available,(412) 815-1239,https://ssl.cdn-redfin.com/photo/rent/5d794941-ac92-4366-8cbc-4526cbc8978e/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Homestead/The-Waterfront/apartment/189824574
"$1,510+/mo","The Docks | 501 Riverfront Dr, Pittsburgh, PA 15238",1-3 bed,1-3 bath,"583-1,540",17 units available,(412) 714-2060,https://ssl.cdn-redfin.com/photo/rent/51fb0153-4e3e-4cfd-91f2-28f42cb5f01a/islphoto/genIsl.0_9.jpg,https://www.redfin.com/PA/Pittsburgh/The-Docks/apartment/74542173
"$2,357+/mo","Eastside Bond | 6105 Spirit St, Pittsburgh, PA 15206",1-2 bed,1-2 bath,—,Available 11/09,(412) 593-2406,https://ssl.cdn-redfin.com/photo/rent/52322876-7704-4d5a-8386-2fe8559f76f4/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/Eastside-Bond/apartment/177413829
"$1,090+/mo","Laurel Village Apartments | 1000 Penn Center Blvd, Pittsburgh, PA 15235",0-2 beds,1-1.5 bath,675-975,2 units available,(412) 709-5197,https://ssl.cdn-redfin.com/photo/rent/6ce95ca3-55d3-402a-b754-fc2afe9897ce/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Laurel-Village-Apartments/apartment/185569712
"$2,250+/mo","Shadyside Commons | 401 Amberson Ave, Pittsburgh, PA 15232",1-2 bed,1-2 bath,"683-1,046",6 units available,(724) 260-6563,https://ssl.cdn-redfin.com/photo/rent/a654b65a-2f41-4d8a-a891-59b1cbf818f2/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Shadyside-Commons/apartment/74662167
"$1,550+/mo","Lot 24 | 2404 Railroad St, Pittsburgh, PA 15222",0-1 beds,1 bath,634-769,3 units available,(412) 815-0791,https://ssl.cdn-redfin.com/photo/rent/8cccf1a0-72f7-403e-a61f-31c92e50c695/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Lot-24/apartment/74562284
"$1,228+/mo","The View North Hills | 1000 Johnanna Dr, Pittsburgh, PA 15237",1-2 bed,1-2 bath,"662-1,133",Pets welcome,(412) 435-4716,https://ssl.cdn-redfin.com/photo/rent/fd835d76-69d1-4737-bcb2-91c848d35e84/islphoto/genIsl.0_8.jpg,https://www.redfin.com/PA/Pittsburgh/The-View-North-Hills/apartment/74660400
"$1,750+/mo","The Brix At 26 | 75 S 26th St, Pittsburgh, PA 15203",1 bed,1-1.5 bath,"694-1,312",6 units available,(724) 715-6718,https://ssl.cdn-redfin.com/photo/rent/082a90e8-a04a-4262-8c3e-47322699028e/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/The-Brix-At-26/apartment/177400270
