Name,Type,Price,Neighborhood,Address,Latitude,Longitude,Bedrooms,Bathrooms,Sq. Footage,Rent Period,Laundry,Parking,Image Link,Link to Listing
3bed 2 bath House For Rent - apts/housing for rent - apartment rent - craigslist,House,"$2,000",Elrama,"1420 Collins Ave, Jefferson Hills, PA 15025",40.256587,-79.925766,3,2,1100,monthly,w/d in unit,detached garage,https://images.craigslist.org/00Z0Z_7wpwvBWrV9e_0lM0t2_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/elrama-3bed-bath-house-for-rent/7791758533.html
"in Hunker PA, 3/bd, Laundry Suites - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,372",Hunker,"117 Huntingdon Village Dr, Hunker, PA 15639",40.189994,-79.599803,3,2,1246,monthly,laundry on site,off-street parking,https://images.craigslist.org/00Z0Z_Iq8JSur0ma_09i06I_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/hunker-in-hunker-pa-bd-laundry-suites/7790536529.html
Utilities included for one person - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,000",Bridgeville,"1100 Washington Pike, Bridgevile, PA 15017",40.347200,-80.115300,1,1,N/A,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00n0n_iRFVwCGGZkG_0MM132_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/bridgeville-utilities-included-for-one/7787476530.html
Relax in your new 700 sq ft 2 bed / 1 bath! - apts/housing for rent - apartment rent - craigslist,Apartment,$754,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,2,1,700,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00F0F_kTWNVt6GUQB_0eD09L_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-relax-in-your-new-700-sq-ft-bed/7784101700.html
West View 1/2 Duplex - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,100",Pittsburgh,N/A,40.516400,-80.021600,2,1,N/A,monthly,w/d in unit,attached garage,https://images.craigslist.org/00L0L_8cRNXl7IzVD_0t20CI_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-west-view-2-duplex/7791734324.html
##Charming 2BED//1BATH Rental For Rent## - apts/housing for rent - apartment rent - craigslist,House,$600,Pittsburgh,N/A,40.440600,-79.995900,2,1,N/A,monthly,w/d in unit,off-street parking,https://images.craigslist.org/00303_5fCPVHlIf11_09G07g_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-charming-2bed-1bath-rental/7791736969.html
"Two-Bedroom Apartment with Eat-In Kitchen - Wood Floors, Laundry! - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,340",Pittsburgh,N/A,40.471954,-79.930044,2,1,N/A,monthly,laundry on site,off-street parking,https://images.craigslist.org/00606_jLK3MO5NUS1_0ak07K_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-two-bedroom-apartment-with/7791736674.html
2 Bedroom Walking Distance to Pitt - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,135",Pittsburgh,"3408 Parkview Avenue, Pittsburgh, PA 15213",40.400100,-80.016100,2,1,465,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00k0k_3iX7FUsy32x_0d40hq_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-walking-distance-to/7784373568.html
"2BR, 1BA Mt. Washington Apartment - Off-Street Parking & Laundry - apts/housing for rent - apartment rent - craigslist",Apartment,$890,Pittsburgh,N/A,40.425549,-80.009395,2,1,N/A,monthly,laundry on site,off-street parking,https://images.craigslist.org/00z0z_iL7SOSbUDXg_05O07K_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-2br-1ba-mt-washington/7791734751.html
"Spacious 2BR, 1BA Apartment with Balcony and Garage - 1011 Wilson Way - apts/housing for rent - apartment rent -...",Apartment,"$1,000",Pittsburgh,N/A,40.539706,-80.037814,2,1,N/A,monthly,w/d in unit,attached garage,https://images.craigslist.org/00e0e_9WgdMWmeNTO_09i0co_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-spacious-2br-1ba-apartment/7791734740.html
Great Pet-Friendly Community in Indiana! Ask for details! - apts/housing for rent - apartment rent - craigslist,Apartment,$654,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,1,1,500,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00c0c_5qlGLUdqurD_0eN09V_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-great-pet-friendly-community-in/7785235978.html
"Podcast Room, Lounge, Rooftop Ice Rink - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,736",Pittsburgh,"434 Fifth Ave, Pittsburgh, PA 15219",40.439484,-79.998334,1,1,714,monthly,laundry in bldg,attached garage,https://images.craigslist.org/00n0n_9Ov5pxkYgnM_0qs0ew_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-podcast-room-lounge-rooftop/7789334457.html
On the Budget Studio! Free Parking! Free Gym! Free Heat! 210 - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,295",Pittsburgh,"Turrentine PL, Pittsburgh, PA 15213",40.444000,-79.955200,N/A,1,349,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00V0V_ebHlmrm1GBT_0lM0t2_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-on-the-budget-studio-free/7791702833.html
